ANIO,NUMERO_MES,MES,TIPO_ACCIDENTE,ID_ESTADO,ESTADO,ID_MUNICIPIO,NOMBRE_MUNICIPIO,TOTAL_ACCIDENTES,SUMA_MUERTOS,SUMA_HERIDOS
2015,1,Enero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,260,1,60
2015,1,Enero,Salida del camino,26,Sonora,30,Hermosillo,3,1,4
2015,1,Enero,Volcadura,26,Sonora,30,Hermosillo,6,0,3
2015,2,Febrero,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,3
2015,2,Febrero,Colisión con ciclista,26,Sonora,30,Hermosillo,10,0,7
2015,2,Febrero,Colisión con motocicleta,26,Sonora,30,Hermosillo,13,0,9
2015,2,Febrero,Colisión con objeto fijo,26,Sonora,30,Hermosillo,24,1,9
2015,2,Febrero,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,42,2,47
2015,2,Febrero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,260,1,44
2015,2,Febrero,Salida del camino,26,Sonora,30,Hermosillo,1,0,1
2015,2,Febrero,Volcadura,26,Sonora,30,Hermosillo,5,0,5
2015,3,Marzo,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,3
2015,3,Marzo,Colisión con ciclista,26,Sonora,30,Hermosillo,6,0,3
2015,3,Marzo,Colisión con motocicleta,26,Sonora,30,Hermosillo,31,0,19
2015,3,Marzo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,31,1,4
2015,3,Marzo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,24,2,23
2015,3,Marzo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,292,1,61
2015,3,Marzo,Salida del camino,26,Sonora,30,Hermosillo,1,0,1
2015,3,Marzo,Volcadura,26,Sonora,30,Hermosillo,2,0,4
2015,4,Abril,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,4
2015,4,Abril,Colisión con ciclista,26,Sonora,30,Hermosillo,10,0,6
2015,4,Abril,Colisión con motocicleta,26,Sonora,30,Hermosillo,16,0,11
2015,4,Abril,Colisión con objeto fijo,26,Sonora,30,Hermosillo,24,0,4
2015,4,Abril,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,15,1,16
2015,4,Abril,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,242,0,51
2015,4,Abril,Salida del camino,26,Sonora,30,Hermosillo,1,0,0
2015,4,Abril,Volcadura,26,Sonora,30,Hermosillo,4,0,5
2015,5,Mayo,Caída de pasajero,26,Sonora,30,Hermosillo,5,0,7
2015,5,Mayo,Colisión con ciclista,26,Sonora,30,Hermosillo,13,1,10
2015,5,Mayo,Colisión con motocicleta,26,Sonora,30,Hermosillo,43,0,36
2015,5,Mayo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,28,0,0
2015,5,Mayo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,17,0,18
2015,5,Mayo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,323,0,68
2015,5,Mayo,Salida del camino,26,Sonora,30,Hermosillo,3,0,0
2015,5,Mayo,Volcadura,26,Sonora,30,Hermosillo,2,0,3
2015,6,Junio,Caída de pasajero,26,Sonora,30,Hermosillo,5,0,6
2015,6,Junio,Colisión con ciclista,26,Sonora,30,Hermosillo,11,0,6
2015,6,Junio,Colisión con motocicleta,26,Sonora,30,Hermosillo,27,0,17
2015,6,Junio,Colisión con objeto fijo,26,Sonora,30,Hermosillo,29,0,27
2015,6,Junio,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,18,0,20
2015,6,Junio,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,310,0,67
2015,6,Junio,Salida del camino,26,Sonora,30,Hermosillo,4,0,2
2015,6,Junio,Volcadura,26,Sonora,30,Hermosillo,5,0,1
2015,7,Julio,Caída de pasajero,26,Sonora,30,Hermosillo,1,0,1
2015,7,Julio,Colisión con ciclista,26,Sonora,30,Hermosillo,10,0,7
2015,7,Julio,Colisión con motocicleta,26,Sonora,30,Hermosillo,28,0,17
2015,7,Julio,Colisión con objeto fijo,26,Sonora,30,Hermosillo,36,0,6
2015,7,Julio,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,15,0,16
